,state,year,county_name,county,cousub,vtd08,vtdid,ward,ward2,ward3,ward4,ward5,ward6,ed,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ad,nopad_vtdid,g2006_USS_tv,g2006_USS_dv,g2006_USS_rv,g2006_USH_tv,g2006_USH_dv,g2006_USH_rv,g2006_GOV_tv,g2006_GOV_dv,g2006_GOV_rv,g2006_STS_tv,g2006_STS_dv,g2006_STS_rv,g2006_STH_tv,g2006_STH_dv,g2006_STH_rv,g2006_REG_tv,g2006_REG_dv,g2006_REG_rv
12,NY,2006,Albany,1,1000,12,360010012,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600112,94,78,4,94,60,5,94,67,7,94,65,0,94,62,3,221,203,4
13,NY,2006,Albany,1,1000,13,360010013,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600113,100,83,4,100,75,7,100,82,5,100,71,0,100,77,5,295,209,19
14,NY,2006,Albany,1,1000,14,360010014,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600114,32,29,0,32,27,0,32,30,0,32,25,0,32,26,0,61,55,1
15,NY,2006,Albany,1,1000,15,360010015,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600115,72,54,2,72,45,2,72,51,3,72,44,0,72,39,0,207,153,14
16,NY,2006,Albany,1,1000,16,360010016,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600116,11,11,0,11,9,0,11,10,0,11,10,0,11,8,0,27,22,1
17,NY,2006,Albany,1,1000,17,360010017,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600117,59,55,1,59,44,1,59,50,2,59,45,0,59,45,4,230,182,14
18,NY,2006,Albany,1,1000,18,360010018,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600118,89,68,12,89,57,10,89,66,13,89,56,0,89,57,11,277,231,14
19,NY,2006,Albany,1,1000,19,360010019,2,NA,NA,NA,NA,NA,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600119,282,230,13,282,216,10,282,222,17,282,204,0,282,212,10,643,544,26
20,NY,2006,Albany,1,1000,20,360010020,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600120,15,13,0,15,13,0,15,13,0,15,13,0,15,12,0,48,42,1
21,NY,2006,Albany,1,1000,21,360010021,2,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600121,52,46,1,52,38,3,52,40,5,52,37,0,52,39,3,167,137,8
22,NY,2006,Albany,1,1000,23,360010023,2,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600123,51,43,3,51,42,1,51,44,1,51,43,0,51,43,0,134,113,3
23,NY,2006,Albany,1,1000,24,360010024,2,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600124,226,183,16,226,178,14,226,182,16,226,173,0,226,172,15,438,369,15
24,NY,2006,Albany,1,1000,25,360010025,2,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600125,24,18,2,24,15,1,24,15,2,24,14,0,24,13,1,109,88,5
25,NY,2006,Albany,1,1000,26,360010026,2,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600126,8,7,1,8,5,1,8,7,1,8,7,0,8,5,0,32,22,2
26,NY,2006,Albany,1,1000,27,360010027,2,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600127,5,5,0,5,4,0,5,5,0,5,3,0,5,4,0,9,8,1
27,NY,2006,Albany,1,1000,28,360010028,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600128,41,31,7,41,28,6,41,29,6,41,29,0,41,28,0,144,108,18
28,NY,2006,Albany,1,1000,29,360010029,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600129,12,8,1,12,6,2,12,8,2,12,8,0,12,7,1,37,27,2
29,NY,2006,Albany,1,1000,30,360010030,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600130,43,35,2,43,32,6,43,32,4,43,34,0,43,34,4,123,91,2
30,NY,2006,Albany,1,1000,31,360010031,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600131,124,94,14,124,95,10,124,91,16,124,93,0,124,87,15,227,177,11
31,NY,2006,Albany,1,1000,32,360010032,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600132,89,74,5,89,68,5,89,71,5,89,68,0,89,69,7,203,173,7
32,NY,2006,Albany,1,1000,33,360010033,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600133,155,127,7,155,120,5,155,128,3,155,124,0,155,121,5,448,375,21
33,NY,2006,Albany,1,1000,34,360010034,3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600134,97,74,8,97,71,4,97,70,9,97,70,0,97,66,8,347,297,12
34,NY,2006,Albany,1,1000,35,360010035,3,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600135,54,45,1,54,41,3,54,41,2,54,41,0,54,41,1,179,150,4
35,NY,2006,Albany,1,1000,36,360010036,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600136,55,48,1,55,48,0,55,44,2,55,47,0,55,44,1,218,169,8
36,NY,2006,Albany,1,1000,37,360010037,3,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600137,45,41,2,45,38,1,45,38,3,45,39,0,45,38,0,105,87,2
37,NY,2006,Albany,1,1000,38,360010038,3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600138,63,51,4,63,51,2,63,51,3,63,50,0,63,50,0,200,161,8
38,NY,2006,Albany,1,1000,39,360010039,3,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600139,62,49,4,62,51,2,62,49,3,62,48,0,62,45,0,121,96,6
39,NY,2006,Albany,1,1000,40,360010040,3,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600140,41,35,2,41,34,1,41,34,3,41,33,0,41,35,0,187,128,12
40,NY,2006,Albany,1,1000,41,360010041,3,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600141,8,5,0,8,5,1,8,5,0,8,3,0,8,4,0,13,5,4
41,NY,2006,Albany,1,1000,42,360010042,3,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,NY,2006,Albany,1,1000,43,360010043,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600143,61,48,1,61,50,2,61,51,3,61,46,0,61,47,3,181,147,9
43,NY,2006,Albany,1,1000,44,360010044,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600144,143,129,5,143,127,4,143,122,11,143,127,0,143,129,4,285,237,10
44,NY,2006,Albany,1,1000,45,360010045,4,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600145,344,276,37,344,271,29,344,277,27,344,259,0,344,266,30,631,516,30
45,NY,2006,Albany,1,1000,47,360010047,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600147,38,23,11,38,27,7,38,25,8,38,22,0,38,24,0,103,71,12
46,NY,2006,Albany,1,1000,48,360010048,4,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600148,108,96,5,108,90,7,108,94,5,108,89,0,108,86,6,297,240,7
47,NY,2006,Albany,1,1000,49,360010049,4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600149,92,76,4,92,72,2,92,78,2,92,70,0,92,69,3,271,221,11
48,NY,2006,Albany,1,1000,50,360010050,4,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600150,239,215,3,239,198,3,239,207,5,239,197,0,239,190,4,685,574,12
49,NY,2006,Albany,1,1000,51,360010051,4,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NY,2006,Albany,1,1000,52,360010052,4,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,NY,2006,Albany,1,1000,53,360010053,4,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600153,208,167,13,208,149,17,208,159,18,208,145,0,208,144,0,332,272,26
52,NY,2006,Albany,1,1000,54,360010054,4,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600154,110,60,37,110,74,25,110,65,34,110,75,0,110,70,0,185,101,32
53,NY,2006,Albany,1,1000,55,360010055,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600155,46,39,0,46,35,0,46,37,0,46,37,0,46,37,0,130,111,6
54,NY,2006,Albany,1,1000,56,360010056,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600156,75,69,0,75,63,0,75,64,1,75,64,0,75,64,0,170,147,4
55,NY,2006,Albany,1,1000,57,360010057,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600157,150,133,6,150,122,8,150,126,11,150,120,0,150,117,7,293,245,6
56,NY,2006,Albany,1,1000,58,360010058,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600158,142,118,6,142,110,5,142,114,5,142,109,0,142,108,4,415,326,15
57,NY,2006,Albany,1,1000,59,360010059,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600159,118,97,5,118,82,11,118,98,8,118,82,0,118,81,2,320,257,11
58,NY,2006,Albany,1,1000,60,360010060,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600160,60,50,8,60,47,4,60,52,6,60,51,0,60,47,6,126,109,4
59,NY,2006,Albany,1,1000,61,360010061,5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600161,131,120,8,131,112,3,131,115,5,131,107,0,131,105,5,358,299,14
60,NY,2006,Albany,1,1000,62,360010062,5,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600162,109,91,10,109,93,9,109,84,10,109,88,0,109,80,10,236,193,10
61,NY,2006,Albany,1,1000,63,360010063,5,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600163,98,83,9,98,71,8,98,77,9,98,73,0,98,70,0,281,214,16
62,NY,2006,Albany,1,1000,64,360010064,5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600164,73,65,1,73,58,0,73,62,3,73,57,0,73,54,0,176,152,8
63,NY,2006,Albany,1,1000,65,360010065,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600165,270,195,12,270,187,16,270,188,14,270,184,0,270,184,0,443,319,18
64,NY,2006,Albany,1,1000,66,360010066,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600166,172,121,12,172,122,11,172,122,12,172,124,0,172,125,0,295,213,17
65,NY,2006,Albany,1,1000,67,360010067,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600167,217,132,28,217,136,22,217,133,24,217,136,0,217,136,0,335,191,37
66,NY,2006,Albany,1,1000,68,360010068,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600168,315,193,27,315,203,29,315,205,25,315,193,0,315,194,0,500,316,46
67,NY,2006,Albany,1,1000,69,360010069,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600169,223,140,30,223,149,29,223,147,32,223,147,0,223,145,0,333,223,18
68,NY,2006,Albany,1,1000,70,360010070,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600170,266,174,24,266,175,26,266,169,20,266,169,0,266,170,0,411,281,34
69,NY,2006,Albany,1,1000,71,360010071,6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600171,169.13,126.22,11.19,169.13,120.63,14.3,169.13,120.01,9.95,169.13,114.41,0,169.13,110.06,0,416.6,297.84,23.63
70,NY,2006,Albany,1,1000,72,360010072,6,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600172,125,77,21,125,63,24,125,66,24,125,70,0,125,66,0,182,129,18
71,NY,2006,Albany,1,1000,73,360010073,6,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600173,102.87,76.78,6.81,102.87,73.37,8.7,102.87,72.99,6.05,102.87,69.59,0,102.87,66.94,0,253.4,181.16,14.37
72,NY,2006,Albany,1,1000,74,360010074,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600174,85,70,5,85,66,7,85,65,11,85,68,0,85,67,0,186,148,9
73,NY,2006,Albany,1,1000,75,360010075,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600175,116,69,12,116,72,8,116,79,8,116,70,0,116,70,0,193,128,12
74,NY,2006,Albany,1,1000,76,360010076,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600176,394,265,47,394,287,33,394,273,40,394,294,0,394,287,0,558,443,33
75,NY,2006,Albany,1,1000,77,360010077,7,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600177,610.19,440.44,64.23,610.19,452.37,50.47,610.19,460.62,55.05,610.19,456.04,0,610.19,449.61,0,1119.44,797.37,88.09
76,NY,2006,Albany,1,1000,79,360010079,7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600179,122.21,89.42,12.52,122.21,85.84,10.13,122.21,88.82,10.73,122.21,87.03,0,122.21,90.61,0,253.95,193.74,16.69
77,NY,2006,Albany,1,1000,80,360010080,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600180,206,148,21,206,145,18,206,149,22,206,143,0,206,146,0,326,252,28
