,Unnamed: 0,cycle,election,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,Name,Party,State,seat,District,Incum.Chall,cfscore,cfscores.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,num.givers,num.givers.total,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,mu.est80s,mu.est90s,mu.est00s,district.pres.vs,dist.pvs1984,dist.pvs1988,dist.pvs1992,dist.pvs1996,dist.pvs2000,dist.pvs2004,dist.pvs2008,dist.pvs2012,avg.donor.cfscore.in.cd,prop.in.dist.w.org,prop.in.state.w.org,candStatus,fecyear,cand.or.committee,Industry,Sector.Long,Catcode,Catname,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,Party.orig
25639,448.93,2010,fd2010,H6TX08100,C00311043,N00005883,297602010,29760,cand1485,3193119465,"BRADY, KEVIN",200,TX,federal:house,TX08,I,0.879619139,0.874780193,0.537999988,0.064000003,0.709,0.3,238,1170,M,945192.5,0,0,7389.5,,,,,,,,,1028855.14,257389.5,768845.45,0,1,W,,,W,79,W,1.807612777,0.176848039,1.968782306,1.807612777,0.25999999,0.396350086,0.453342587,0.291343898,0.284759283,0.224319071,0.272727311,0.25999999,0.263,0.799095798,0.075261899,0.751284203,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24446,449.128,2010,fd2010,H0TX09143,C00485334,N00031662,H0TX091432010,H0TX09143,cand39434,4654059715,"MUELLER, STEVE C",200,TX,federal:house,TX09,C,1.502547238,1.457621017,,,,,6,8,M,15712.99,0,0,6097,,,,,,,,,16549.13,16547,0,0,1,W,,,L,22,L,-1.387386203,-0.44819808,0.206674755,-1.387386203,0.769999981,0.473880887,0.528748512,0.550469518,0.519566298,0.450553894,0.699999988,0.769999981,0.768,0.197912891,0.024096386,0.879518072,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24187,450.111,2010,fd2010,H6TX10106,C00473314,N00027789,H6TX101062010,H6TX10106,cand52781,4036282492,"ANKRUM, GEORGE THEODORE",100,TX,federal:house,TX10,C,-1.326762057,-1.363615815,,,,,66,119,M,20140.89,159.57,3555.46,8271.36,,,,,,,,,23314.24,19599.21,0,0,1,W,,,L,33,L,0.742635071,-0.33362335,-0.039905485,0.742635071,0.444444448,0.419504523,0.539846182,0.603698671,0.576419771,0.480912805,0.379999995,0.444444448,0.434,0.39749478,0.574329664,1,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25750,450.117,2010,fd2010,H4TX10093,C00392688,N00026460,205302010,20530,cand953,4123332887,"MCCAUL, MICHAEL",200,TX,federal:house,TX10,I,1.078150772,1.123751197,0.444999993,-0.165000007,0.761,-0.265,684,1707,M,2137670.17,0,500000,62624.5,,,,,,,,,2124577.17,1023666.16,489851.12,0,1,W,,,W,64,W,0.742635071,-0.33362335,-0.039905485,0.742635071,0.444444448,0.419504523,0.539846182,0.603698671,0.576419771,0.480912805,0.379999995,0.444444448,0.434,0.39749478,0.092938141,0.924844146,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25747,451.89,2010,fd2010,H4TX19136,C00383828,N00026041,205312010,20531,cand954,3194120746,"CONAWAY, K MICHAEL",200,TX,federal:house,TX11,I,1.213315319,1.256835931,0.612999976,0.123999998,0.766,0.407,529,1511,U,1153195.9,282.78,0,43311,,,,,,,,,1098814.07,668187.63,421545.45,0,1,W,,,W,80,W,2.245658398,0.404971421,0.645748496,2.245658398,0.239999995,0.337226421,0.417394489,0.467891008,0.455818892,0.336477786,0.219999999,0.239999995,0.232,0.950626679,0.463440429,0.969280721,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23982,452.101,2010,fd2010,H8TX12058,C00449553,N00029759,H8TX120582010,H8TX12058,cand56636,,"SMITH, TRACEY",100,TX,federal:house,TX12,C,-0.853333514,-1.250961149,,,,,3,12,F,7445,0,2144,1771,,,,,,,,,8397,3021,0,0,1,W,,,L,25,L,1.28044498,0.033148643,0.398877293,1.28044498,0.363636374,0.414640397,0.470034719,0.515577793,0.505111694,0.405530781,0.330000013,0.363636374,0.354,0.814621113,0.666666667,1,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25637,452.107,2010,fd2010,H6TX12060,C00310532,N00008799,297622010,29762,cand1487,54179415544,"GRANGER, KAY",200,TX,federal:house,tx12,I,0.949480158,0.940059714,0.402999997,-0.022,0.47,0.672,581,2369,F,1388017.3,112.79,0,65791.83,,,,,,,,,1341260,768387.96,569018.95,0,1,W,,,W,71,W,1.28044498,0.033148643,0.398877293,1.28044498,0.363636374,0.414640397,0.470034719,0.515577793,0.505111694,0.405530781,0.330000013,0.363636374,0.354,0.814621113,0.273800914,0.821963658,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25749,453.108,2010,fd2010,H4TX13014,C00286187,N00006052,295722010,29572,cand1409,,"THORNBERRY, WILLIAM MCCLELLAN ""MAC""",200,TX,federal:house,tx13,I,1.283999495,1.300787435,0.568000019,0.048,0.744,0.365,444,1619,M,792833.49,3250,0,54470.4,,,,,,,,,689960.06,435904.61,240111.5,0,1,W,,,W,87,W,2.250434875,0.737422407,0.707971215,2.250434875,0.230000004,0.280315697,0.362069994,0.45638907,0.426992595,0.311318815,0.222222194,0.230000004,0.222,0.990395223,0.402820829,0.959074834,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24437,454.119,2010,fd2010,H0TX14168,C00473181,N00031664,H0TX141682010,H0TX14168,cand39514,2456755480,"PRUETT, ROBERT C JR",100,TX,federal:house,tx14,C,-1.387796636,-1.320908228,,,,,12,12,M,28007.56,2600,1500,5705,,,,,,,,,28007.56,13077,0,0,1,W,,,L,23,L,1.369766831,0.267944574,0.636164367,1.369766831,0.333333343,0.324644804,0.425015718,0.477563411,0.456888199,0.35219419,0.330000013,0.333333343,0.424,0.667786044,0.912751678,1,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25509,454.125,2010,fd2010,H6TX22101,C00305342,,142902010,14290,cand303,,"PAUL, RON",200,TX,federal:house,tx14,I,1.569626527,1.473258976,0.970000029,-0.241999999,1,0.007,150,19708,M,5419242.33,6000,0,510755.04,0,0,0,0,0,0,0,0,2962564.45,997924.86,89010,0,1,W,,,W,76,W,1.369766831,0.267944574,0.636164367,1.369766831,0.333333343,0.324644804,0.425015718,0.477563411,0.456888199,0.35219419,0.330000013,0.333333343,0.424,0.667786044,0.679620443,0.448905768,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24186,455.66,2010,fd2010,H6TX15113,C00427708,N00027934,H6TX151132010,H6TX15113,cand52826,4313578325,"ZAMORA, EDDIE",200,TX,federal:house,tx15,C,1.41218636,1.370286769,,,,,53,74,M,83938.88,0,0,18432,,,,,,,,,87768,84338,100,0,1,W,,,L,41,L,0.056728121,-0.957605481,-0.459971219,0.056728121,0.600000024,0.536432326,0.62938571,0.605947137,0.636313498,0.547709525,0.449999988,0.600000024,0.576,0.284178324,0.726626229,1,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25636,455.72,2010,fd2010,H6TX15055,C00310896,N00006008,297632010,29763,cand1488,4039284736,"HINOJOSA, RUBEN E",100,TX,federal:house,tx15,I,-0.237012158,-0.33523005,-0.340000004,0.155000001,-0.367,0.226,210,1232,M,622520.74,17.85,0,4820,,,,,,,,,609897.92,311970,291750,0,1,W,,,W,55,W,0.056728121,-0.957605481,-0.459971219,0.056728121,0.600000024,0.536432326,0.62938571,0.605947137,0.636313498,0.547709525,0.449999988,0.600000024,0.576,0.284178324,0.242695267,0.95515313,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25640,456.121,2010,fd2010,H6TX00115,C00309237,N00006067,297642010,29764,cand1489,2414715129,"REYES, SILVESTRE",100,TX,federal:house,tx16,I,-0.006380456,-0.020800098,-0.331999987,0.237000003,-0.393,0.282,433,1669,M,1040965.88,800,0,12869,,,,,,,,,1044123.34,620081.06,416316.05,0,1,W,,,W,58,W,-0.477989316,-0.297731429,-0.630983829,-0.477989316,0.660000026,0.430351287,0.524462402,0.591218293,0.662574708,0.595381379,0.564356387,0.660000026,0.646,0.374089002,0.309675009,0.764410204,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
24432,457.79,2010,fd2010,H0TX17104,C00472241,N00031545,H0TX171042010,21182,cand1170,28187853032,"FLORES, BILL",200,TX,federal:house,tx17,C,1.244692519,1.287463773,0.621999979,0.245000005,,,963,1247,M,3389497.38,13755.2,1329750,170399.91,,,,,,,,,3433415.41,1522395.28,297897.34,0,1,W,,,W,61,W,1.524675488,0.296504885,0.64844048,1.524675488,0.323232323,0.316823184,0.419283003,0.459024996,0.435016781,0.285309672,0.303030312,0.323232323,0.414,0.784847352,0.341115484,0.97713028,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25527,457.85,2010,fd2010,H8TX06035,C00240465,N00005794,291442010,29144,cand1232,3768408276,"EDWARDS, THOMAS CHESTER",100,TX,federal:house,tx17,I,-0.343422862,-0.298220116,-0.237000003,0.414000005,-0.232,0.615,2113,4816,M,3841632.24,6849.75,0,135550.32,,,,,,,,,3686767.66,2313468.16,1331739.98,0,1,W,,,L,36,L,1.524675488,0.296504885,0.64844048,1.524675488,0.323232323,0.316823184,0.419283003,0.459024996,0.435016781,0.285309672,0.303030312,0.323232323,0.414,0.784847352,0.067821303,0.689446455,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23980,458.139,2010,fd2010,H8TX18139,C00441840,N00029637,H8TX181392010,H8TX18139,cand56683,3271161283,"FAULK, JOHN M MR. SR.",200,TX,federal:house,tx18,C,1.265305601,1.310611396,,,,,158,179,M,262544.13,0,4300,100747.08,,,,,,,,,273759.32,268500.76,0,0,1,W,,,L,27,L,-1.583966255,-2.614972353,-1.964312315,-1.583966255,0.777777791,0.72427696,0.7519719,0.746686101,0.756878614,0.729727149,0.720000029,0.777777791,0.77,0.333462258,0.405042832,0.960926694,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24252,458.14,2010,fd2010,H4TX18054,C00287904,N00005818,H4TX180542010,29573,cand1410,54894258900,"LEE, SHEILA JACKSON",100,TX,federal:house,aa18,I,-0.285584735,-0.373655526,-0.479000002,0.033,,,377,1795,F,1130370.69,0,0,26205.05,,,,,,,,,825310.32,487161.79,332148.53,0,1,W,,,W,70,W,-1.583966255,-2.614972353,-1.964312315,-1.583966255,0.777777791,0.72427696,0.7519719,0.746686101,0.756878614,0.729727149,0.720000029,0.777777791,0.77,0.333462258,0.110567446,0.885395362,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
24428,459.126,2010,fd2010,H0TX19043,C00471722,N00031344,H0TX190432010,H0TX19043,cand39566,4020265260,"WILSON, ANDY",100,TX,federal:house,aa19,C,-1.187064189,-1.125746957,,,,,152,152,M,42097.13,5200,10000,12159.62,,,,,,,,,42097.13,26268.58,0,0,1,W,,,L,19,L,1.980023861,0.907945752,1.814917922,1.980023861,0.272727281,0.2503708,0.331216395,0.280043393,0.280461103,0.196871325,0.222222194,0.272727281,0.283,0.87947416,0.69292814,0.87723126,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25748,459.127,2010,fd2010,H4TX19102,C00384016,N00026043,203532010,20353,cand919,,"NEUGEBAUER, ROBERT RANDOLPH (RANDY)",200,TX,federal:house,aa19,I,1.196772866,1.18207228,0.639999986,0.097000003,0.774,0.376,422,2136,M,974051.83,400,0,40712.12,,,,,,,,,1135652.42,541963.96,580845.36,0,1,W,,,W,77,W,1.980023861,0.907945752,1.814917922,1.980023861,0.272727281,0.2503708,0.331216395,0.280043393,0.280461103,0.196871325,0.222222194,0.272727281,0.283,0.87947416,0.251549305,0.941027635,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24427,460.84,2010,fd2010,H0TX20066,C00474577,N00031667,H0TX200662010,H0TX20066,cand39572,,"TROTTER, CLAYTON",200,TX,federal:house,aa20,C,1.392204261,1.381935873,,,,,95,95,M,162678.98,0,0,40689.54,,,,,,,,,162678.98,144109.54,14619.2,0,1,W,,,L,34,L,-0.405984163,-1.278762817,-0.469985157,-0.405984163,0.636363626,0.586158574,0.675657511,0.583980381,0.63094759,0.562203288,0.550000012,0.636363626,0.586,0.540209026,0.259761456,0.959437658,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25526,460.86,2010,fd2010,H8TX20077,C00330084,N00005960,299432010,29943,cand1547,,"GONZALEZ, CHARLES A",100,TX,federal:house,aa20,I,-0.12537578,-0.125728512,-0.354000002,0.119000003,-0.357,0.054,266,1143,M,970471.11,3465.97,0,12484.99,,,,,,,,,921600.96,249184.99,668950,0,1,W,,,W,63,W,-0.405984163,-1.278762817,-0.469985157,-0.405984163,0.636363626,0.586158574,0.675657511,0.583980381,0.63094759,0.562203288,0.550000012,0.636363626,0.586,0.540209026,0.044448955,0.773336262,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
24426,461.132,2010,fd2010,H0TX21080,C00463372,N00030960,H0TX210802010,H0TX21080,cand39583,53206153744,"MELNICK, LAINEY",100,TX,federal:house,aa21,C,-1.324968017,-1.25982337,,,,,77,77,F,34986.82,5600,894.14,13691.67,,,,,,,,,34986.82,27229.67,1155,0,1,W,,,L,27,L,0.834477484,1.250954628,1.655517459,0.834477484,0.414141417,0.221010491,0.29105109,0.328793913,0.320066094,0.248708174,0.396039575,0.414141417,0.429,0.546497297,0.335998512,0.499570908,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25635,461.133,2010,fd2010,H6TX21012,C00197160,N00001811,154452010,15445,cand757,,"SMITH, LAMAR S",200,TX,federal:house,aa21,I,1.060858053,1.072808522,0.414000005,-0.029999999,0.458,0.462,478,2459,M,1248307.77,250,0,71170.02,,,,,,,,,1312958.29,642905.02,653316.1,0,1,W,,,W,68,W,0.834477484,1.250954628,1.655517459,0.834477484,0.414141417,0.221010491,0.29105109,0.328793913,0.320066094,0.248708174,0.396039575,0.414141417,0.429,0.546497297,0.226961015,0.863752878,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24423,462.155,2010,fd2010,H0TX22112,C00471771,N00031548,H0TX221122010,H0TX22112,cand39594,,"ROGERS, LAKESHA D",100,TX,federal:house,aa22,C,-4.68387099,-4.384658186,,,,,33,49,F,61667.59,0,0,30283.37,,,,,,,,,61895.56,56098.37,5419.37,0,1,W,,,L,29,L,0.942831635,0.757806182,1.348705649,0.942831635,0.414141417,0.298432589,0.370917827,0.351384073,0.40036881,0.364356488,0.353535295,0.414141417,0.394,0.546886481,0.110994831,0.584980237,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
25525,462.157,2010,fd2010,H8TX22107,C00437913,N00029285,209482010,20948,cand1075,2376690033,"OLSON, PETER G",200,TX,federal:house,aa22,I,1.101250462,1.054102969,0.540000021,0.078000002,0.733,0.188,549,1639,M,1311977.06,1250,0,43717.74,,,,,,,,,1268558.75,749885.52,487475.45,0,1,W,,,W,67,W,0.942831635,0.757806182,1.348705649,0.942831635,0.414141417,0.298432589,0.370917827,0.351384073,0.40036881,0.364356488,0.353535295,0.414141417,0.394,0.546886481,0.217577552,0.959831661,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24249,463.122,2010,fd2010,H4TX28046,C00394353,N00026722,H4TX280462010,21183,cand1171,3597202285,"CANSECO, FRANCISCO 'QUICO'",200,TX,federal:house,aa23,C,1.135955281,1.171483326,0.574000001,0.298999995,,,785,1591,M,1822565.56,37050,597550,155079.81,,,,,,,,,1931185.54,1009610.95,263054.2,0,1,W,,,W,49,W,0.377407908,-0.125994965,0.340518832,0.377407908,0.515151501,0.408099592,0.495337903,0.506554604,0.533938706,0.422183722,0.353535295,0.515151501,0.505,0.732876892,0.05555332,0.972171155,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25524,463.132,2010,fd2010,H8TX28013,C00326066,N00009828,297712010,29771,cand1496,3899449083,"RODRIGUEZ, CIRO D",100,TX,federal:house,aa23,I,-0.485576333,-0.439350445,-0.368000001,0.143000007,-0.297,0.341,775,2215,M,1678896.95,11470.07,0,41896.35,,,,,,,,,1616734.51,724581.69,878907.84,0,1,W,,,L,44,L,0.377407908,-0.125994965,0.340518832,0.377407908,0.515151501,0.408099592,0.495337903,0.506554604,0.533938706,0.422183722,0.353535295,0.515151501,0.505,0.732876892,0.042302649,0.82532459,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
24418,464.111,2010,fd2010,H0TX24118,C00472613,N00031550,H0TX241182010,H0TX24118,cand39620,,"ROSZELL, FRANK",200,TX,federal:house,aa24,C,1.485109654,1.472262748,,,,,3,3,M,10499,0,9524,125,,,,,,,,,10499,975,0,1,0,,,,L,,L,0.723690748,-0.414502949,-0.132574677,0.723690748,0.444444448,0.468300402,0.526330888,0.548854113,0.576926112,0.516998649,0.349999994,0.444444448,0.414,0.646296783,0.540636042,0.529411765,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
25746,464.112,2010,fd2010,H4TX24094,C00393348,N00026710,205322010,20532,cand955,29356240191,"MARCHANT, KENNY EWELL",200,TX,federal:house,aa24,I,0.9258355,0.950324584,0.602999985,0.07,0.756,0.356,138,1020,M,463728.19,250,0,13144,,,,,,,,,542264.6,156761.57,371436.5,0,1,W,,,W,81,W,0.723690748,-0.414502949,-0.132574677,0.723690748,0.444444448,0.468300402,0.526330888,0.548854113,0.576926112,0.516998649,0.349999994,0.444444448,0.414,0.646296783,0.094278669,0.809151148,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
24417,465.141,2010,fd2010,H0TX25073,C00465187,N00031067,H0TX250732010,H0TX25073,cand39628,,"CAMPBELL, DONNA DR.",200,TX,federal:house,aa25,C,1.444219807,1.428962578,,,,,426,431,F,765730.46,1200,49634.18,228727.65,,,,,,,,,800229.15,712833.55,31581.7,0,1,W,,,L,44,L,-0.498688549,-0.374945879,-0.050620619,-0.498688549,0.595959604,0.471298486,0.513055205,0.567996502,0.536715508,0.510352552,0.629999995,0.595959604,0.434,0.372360429,0.649657205,0.967056921,C,2010,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
