COUNTY NUMBER,COUNTY NAME,STATE PRC CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,"McCain, John (R)","Obama, Barack (D)","Chabot, Steve (R)","Driehaus, Steve (D)","Schmidt, Jean (R)","Wulsin, Victoria (D)","Mitakides, Jane (D)","Turner, Mike (R)","Carroll, Mike (D)","Jordan, Jim (R)","Latta, Bob (R)","Mays, George (D)","Stobbs, Richard (R)","Wilson, Charlie (D)","Austria, Steve (R)","Neuhardt, Sharen (D)","Boehner, John (R)","VonStein, Nicholas (D)","Kaptur, Marcy (D)","Leavitt, Bradley (R)","Kucinich, Dennis (D)","Trakas, Jim (R)","Fudge, Marcia (D)","Pekarek, Thomas (R)","Robinson, David (D)","Tiberi, Pat (R)","Potter, David (R)","Sutton, Betty (D)","LaTourette, Steven (R)","O'Neill, Bill (D)","Kilroy, Mary Jo (D)","Stivers, Steve (R)","Boccieri, John (D)","Schuring, Kirk (R)","Grassell, Duane (R)","Ryan, Tim (D)","Dailey, Fred (R)","Space, Zack (D)"
1,ADAMS,01-AAD,LOCUST GROVE,757,552,344,184,0,0,269,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAC,LYNX,508,312,161,128,0,0,131,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAK,MANCHESTER A,414,221,81,119,0,0,63,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAL,MANCHESTER B,392,233,125,98,0,0,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAM,MANCHESTER C,509,291,145,127,0,0,126,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAJ,MANCHESTER TOWNSHIP,61,40,19,18,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAO,MINERAL SPRINGS,325,230,161,56,0,0,128,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAR,MONROE TOWNSHIP,512,315,152,137,0,0,110,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAS,OLIVER TOWNSHIP,749,438,267,141,0,0,186,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAP,PEEBLES EAST,575,336,209,111,0,0,177,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAQ,PEEBLES WEST,553,323,193,114,0,0,156,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAF,ROME VILLAGE,82,54,6,46,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAT,SEAMAN PRECINCT,246,185,134,45,0,0,106,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAU,SEAMAN VILLAGE,668,410,250,144,0,0,201,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAY,TIFFIN EAST,775,536,320,186,0,0,223,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAZ,TIFFIN WEST,784,526,301,207,0,0,234,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAV,TRANQUILITY,498,341,243,85,0,0,193,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-AAH,WAMSLEY,367,212,118,80,0,0,89,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABF,WAYNE TOWNSHIP,742,527,362,156,0,0,279,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABA,WEST UNION EAST,435,305,161,128,0,0,145,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABB,WEST UNION NORTH,470,239,107,123,0,0,100,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABC,WEST UNION SOUTH,430,271,131,121,0,0,119,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABD,WEST UNION WEST,434,246,135,101,0,0,109,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABG,WINCHESTER TOWNSHIP,622,423,286,120,0,0,232,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADAMS,01-ABH,WINCHESTER VILLAGE,708,523,359,148,0,0,267,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACT,AMANDA TWP E,977,781,546,209,0,0,0,0,0,0,168,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACU,AMANDA TWP N,554,428,323,91,0,0,0,0,0,0,75,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACW,AMERICAN TWP A,482,369,225,138,0,0,0,0,0,0,100,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACX,AMERICAN TWP B,340,268,133,127,0,0,0,0,0,0,100,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACY,AMERICAN TWP C,412,279,154,117,0,0,0,0,0,0,92,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACZ,AMERICAN TWP D,199,149,98,48,0,0,0,0,0,0,43,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADA,AMERICAN TWP E,452,358,274,69,0,0,0,0,0,0,56,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADB,AMERICAN TWP F,668,477,234,224,0,0,0,0,0,0,197,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADC,AMERICAN TWP G,389,234,103,121,0,0,0,0,0,0,102,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADD,AMERICAN TWP H,660,479,282,182,0,0,0,0,0,0,159,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADE,AMERICAN TWP I,624,489,311,171,0,0,0,0,0,0,135,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADF,AMERICAN TWP J,478,304,168,130,0,0,0,0,0,0,112,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADG,AMERICAN TWP K,1077,886,638,229,0,0,0,0,0,0,166,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADI,AMERICAN TWP L,842,690,474,199,0,0,0,0,0,0,155,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADJ,AMERICAN TWP M,696,521,352,146,0,0,0,0,0,0,129,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADK,AMERICAN TWP N,390,269,128,127,0,0,0,0,0,0,113,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADL,AMERICAN TWP O,439,355,267,83,0,0,0,0,0,0,66,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADO,AMERICAN TWP P,409,329,224,99,0,0,0,0,0,0,67,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADP,AMERICAN TWP Q,419,331,198,131,0,0,0,0,0,0,101,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADT,AUGLAIZE TWP A,682,526,375,142,0,0,0,0,0,0,119,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADW,AUGLAIZE TWP B,913,730,487,221,0,0,0,0,0,0,185,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADY,BATH TWP A,459,382,254,116,0,0,0,0,0,0,105,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADZ,BATH TWP B,558,367,213,147,0,0,0,0,0,0,126,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEA,BATH TWP C,525,356,220,125,0,0,0,0,0,0,108,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEB,BATH TWP D,348,271,165,96,0,0,0,0,0,0,73,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEC,BATH TWP E,735,569,354,203,0,0,0,0,0,0,181,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AED,BATH TWP F,567,446,317,116,0,0,0,0,0,0,92,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEE,BATH TWP G,707,472,315,143,0,0,0,0,0,0,108,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEF,BATH TWP H,449,357,273,80,0,0,0,0,0,0,67,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEG,BATH TWP I,570,459,333,111,0,0,0,0,0,0,89,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEI,BATH TWP J,608,485,327,150,0,0,0,0,0,0,98,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEJ,BATH TWP K,734,580,429,140,0,0,0,0,0,0,112,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEK,BATH TWP L,447,265,95,160,0,0,0,0,0,0,156,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AFE,BEAVERDAM VILLAGE,240,182,124,51,0,0,0,0,0,0,46,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AFI,BLUFFTON VILLAGE A,458,325,141,174,0,0,0,0,0,0,132,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AFJ,BLUFFTON VILLAGE B,377,294,153,136,0,0,0,0,0,0,105,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AFK,BLUFFTON VILLAGE C,539,437,296,142,0,0,0,0,0,0,87,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AFL,BLUFFTON VILLAGE D,475,335,218,106,0,0,0,0,0,0,80,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AFM,BLUFFTON VILLAGE E,605,508,299,201,0,0,0,0,0,0,134,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEW,CAIRO VILLAGE,364,280,164,107,0,0,0,0,0,0,86,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAA,DELPHOS 1A,852,627,360,250,0,0,0,0,0,0,191,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAC,DELPHOS 1B,627,487,333,135,0,0,0,0,0,0,101,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAE,DELPHOS 2A,763,480,293,178,0,0,0,0,0,0,124,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAG,DELPHOS 2B,456,255,148,98,0,0,0,0,0,0,79,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADQ,ELIDA VILLAGE A,704,570,390,159,0,0,0,0,0,0,121,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADR,ELIDA VILLAGE B,726,565,415,143,0,0,0,0,0,0,109,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AGB,FT SHAW VILLAGE A,869,704,505,192,0,0,0,0,0,0,136,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AGC,FT SHAW VILLAGE B,898,674,424,228,0,0,0,0,0,0,202,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AGD,FT SHAW VILLAGE C,843,609,401,192,0,0,0,0,0,0,169,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ADU,HARROD VILLAGE,273,191,136,47,0,0,0,0,0,0,39,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEN,JACKSON TWP A,920,756,567,173,0,0,0,0,0,0,143,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEQ,JACKSON TWP B,926,719,536,166,0,0,0,0,0,0,142,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AEO,LAFAYETTE VILLAGE,258,190,140,46,0,0,0,0,0,0,39,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAH,LIMA 1A,668,417,165,236,0,0,0,0,0,0,204,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAJ,LIMA 1B,314,224,112,103,0,0,0,0,0,0,89,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAK,LIMA 1C,324,245,129,108,0,0,0,0,0,0,83,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAL,LIMA 1D,943,534,205,313,0,0,0,0,0,0,269,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAN,LIMA 1E,439,297,132,156,0,0,0,0,0,0,119,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAO,LIMA 2A,333,210,104,97,0,0,0,0,0,0,82,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAP,LIMA 2B,410,308,151,150,0,0,0,0,0,0,117,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAQ,LIMA 2C,632,341,121,222,0,0,0,0,0,0,169,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAR,LIMA 2D,298,221,125,86,0,0,0,0,0,0,82,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAS,LIMA 2E,336,273,142,125,0,0,0,0,0,0,94,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAT,LIMA 2F,557,429,247,175,0,0,0,0,0,0,148,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAV,LIMA 2G,462,353,208,135,0,0,0,0,0,0,102,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAW,LIMA 3A,972,573,221,322,0,0,0,0,0,0,296,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAX,LIMA 3B,858,564,249,300,0,0,0,0,0,0,256,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-AAY,LIMA 3C,689,340,104,226,0,0,0,0,0,0,171,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABE,LIMA 4A,694,552,337,208,0,0,0,0,0,0,150,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABF,LIMA 4B,610,405,211,184,0,0,0,0,0,0,146,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABH,LIMA 4C,327,270,157,112,0,0,0,0,0,0,88,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABI,LIMA 4D,408,283,149,120,0,0,0,0,0,0,90,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABJ,LIMA 4E,402,288,128,154,0,0,0,0,0,0,131,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABK,LIMA 4F,522,344,109,230,0,0,0,0,0,0,185,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABM,LIMA 4G,496,372,178,186,0,0,0,0,0,0,152,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABP,LIMA 5A,818,433,50,376,0,0,0,0,0,0,311,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABQ,LIMA 5B,383,225,22,207,0,0,0,0,0,0,188,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABR,LIMA 5C,757,417,126,276,0,0,0,0,0,0,244,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABT,LIMA 5D,858,460,101,337,0,0,0,0,0,0,275,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABW,LIMA 6A,400,252,17,231,0,0,0,0,0,0,194,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABX,LIMA 6B,688,327,19,294,0,0,0,0,0,0,259,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ABZ,LIMA 6C,536,290,6,279,0,0,0,0,0,0,258,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACA,LIMA 6D,416,220,74,132,0,0,0,0,0,0,125,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACB,LIMA 6E,380,176,54,117,0,0,0,0,0,0,95,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACC,LIMA 6F,618,309,80,229,0,0,0,0,0,0,194,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACD,LIMA 7A,697,493,258,230,0,0,0,0,0,0,176,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACE,LIMA 7B,688,528,312,199,0,0,0,0,0,0,154,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ALLEN,02-ACG,LIMA 7C,345,253,118,127,0,0,0,0,0,0,118,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
