,Unnamed: 0,cycle,election,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,Name,Party,State,seat,District,Incum.Chall,cfscore,cfscores.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,num.givers,num.givers.total,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,mu.est80s,mu.est90s,mu.est00s,district.pres.vs,dist.pvs1984,dist.pvs1988,dist.pvs1992,dist.pvs1996,dist.pvs2000,dist.pvs2004,dist.pvs2008,dist.pvs2012,avg.donor.cfscore.in.cd,prop.in.dist.w.org,prop.in.state.w.org,candStatus,fecyear,cand.or.committee,Industry,Sector.Long,Catcode,Catname,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,Party.orig
22195,450.103,2008,fd2008,H8TX10052,C00434340,N00029169,H8TX100522008,H8TX10052,cand56622,,"DOHERTY, LARRY JOE",100,TX,federal:house,TX10,C,-0.697552976,-0.649821753,,,,,669,669,M,1189406,4500,112500,66487.86,,,,,,,,,1201084,1008314,73685,0,1,W, , ,L,43,L,0.742635071,-0.33362335,-0.039905485,0.742635071,0.444444448,0.419504523,0.539846182,0.603698671,0.576419771,0.480912805,0.379999995,0.444444448,0.434,0.118616678,0.061503137,0.915344284,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23471,450.107,2008,fd2008,H4TX10093,C00392688,N00026460,205302008,20530,cand953,4123332887,"MCCAUL, MICHAEL",200,TX,federal:house,TX10,I,1.078150772,1.07842712,0.444999993,-0.165000007,0.647,0.017,686,1707,M,1728339,5250,250000,54984.37,,,,,,,,,1723165,858708,554884,0,1,W, , ,W,53,W,0.742635071,-0.33362335,-0.039905485,0.742635071,0.444444448,0.419504523,0.539846182,0.603698671,0.576419771,0.480912805,0.379999995,0.444444448,0.434,0.118616678,0.108236688,0.949582632,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23468,451.8,2008,fd2008,H4TX19136,C00383828,N00026041,205312008,20531,cand954,3194120746,"CONAWAY, K MICHAEL",200,TX,federal:house,TX11,I,1.213315319,1.214215255,0.612999976,0.123999998,0.713,0.432,554,1511,U,951802,1784,0,50747.43,,,,,,,,,1137066,642481,482587,0,1,W, , ,W,88,W,2.245658398,0.404971421,0.645748496,2.245658398,0.239999995,0.337226421,0.417394489,0.467891008,0.455818892,0.336477786,0.219999999,0.239999995,0.232,0.849871779,0.387093368,0.923543516,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22192,452.99,2008,fd2008,H8TX12058,C00449553,N00029759,H8TX120582008,H8TX12058,cand56636,,"SMITH, TRACEY NEAL",100,TX,federal:house,TX12,C,-0.853333514,-0.763007876,,,,,9,12,F,16300,0,0,1703,,,,,,,,,17172,9803,2500,0,1,W, , ,L,30,L,1.28044498,0.033148643,0.398877293,1.28044498,0.363636374,0.414640397,0.470034719,0.515577793,0.505111694,0.405530781,0.330000013,0.363636374,0.354,0.574188297,0.485849057,1,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23341,452.1,2008,fd2008,H6TX12060,C00310532,N00008799,297622008,29762,cand1487,54179415544,"GRANGER, KAY",200,TX,federal:house,TX12,I,0.949480158,1.011051424,0.402999997,-0.022,0.643,0.09,607,2369,F,1452977,500,0,64144,,,,,,,,,1380779,806356,567812,0,1,W, , ,W,67,W,1.28044498,0.033148643,0.398877293,1.28044498,0.363636374,0.414640397,0.470034719,0.515577793,0.505111694,0.405530781,0.330000013,0.363636374,0.354,0.574188297,0.292773129,0.908731598,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22787,453.101,2008,fd2008,H6TX13100,C00421107,N00027930,H6TX131002008,H6TX13100,cand52808,3803316283,"WAUN, ROGER JAMES",100,TX,federal:house,TX13,C,-1.045409714,-1.138786021,,,,,6,29,M,13211,0,2000,5228,,,,,,,,,13149,6622,2400,0,1,W, , ,L,22,L,2.250434875,0.737422407,0.707971215,2.250434875,0.230000004,0.280315697,0.362069994,0.45638907,0.426992595,0.311318815,0.222222194,0.230000004,0.222,0.872770812,1,1,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23470,453.102,2008,fd2008,H4TX13014,C00286187,N00006052,295722008,29572,cand1409,,"THORNBERRY, WILLIAM MCCLELLAN ""MAC""",200,TX,federal:house,TX13,I,1.283999495,1.315930867,0.568000019,0.048,0.738,0.177,544,1619,M,789264,250,0,47430.08,,,,,,,,,778206,594254,170650,0,1,W, , ,W,77,W,2.250434875,0.737422407,0.707971215,2.250434875,0.230000004,0.280315697,0.362069994,0.45638907,0.426992595,0.311318815,0.222222194,0.230000004,0.222,0.872770812,0.463779753,0.977664547,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22786,454.113,2008,fd2008,H6TX14090,C00413104,N00027668,H6TX140902008,H6TX14090,cand52817,,"SKLAR, SHANE",100,TX,federal:house,TX14,C,-0.457456249,-0.431376406,,,,,1,365,M,8704,0,0,0,,,,,,,,,783,750,33,0,0,?,?,?,,?? ,,1.369766831,0.267944574,0.636164367,1.369766831,0.333333343,0.324644804,0.425015718,0.477563411,0.456888199,0.35219419,0.330000013,0.333333343,0.424,0.542534497,1,1,P,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23208,454.114,2008,fd2008,H6TX22101,C00305342,,142902008,14290,cand303,,"PAUL, RON",200,TX,federal:house,TX14,I,1.569626527,1.546562441,0.970000029,-0.241999999,0.973,-0.233,8851,19708,M,42748273,0,0,2381679.84,0,0,0,0,0,0,0,0,50164701,38977038,126382,0,1,W, , ,W,0,W,1.369766831,0.267944574,0.636164367,1.369766831,0.333333343,0.324644804,0.425015718,0.477563411,0.456888199,0.35219419,0.330000013,0.333333343,0.424,0.542534497,0.188769311,0.130764409,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22785,455.64,2008,fd2008,H6TX15113,C00427708,N00027934,H6TX151132008,H6TX15113,cand52826,4313578325,"ZAMORA, EDWARD ROMERO JR",200,TX,federal:house,TX15,C,1.41218636,1.376237983,,,,,13,74,M,23843,1749,0,3202.5,,,,,,,,,22446,16387,0,0,1,W, , ,L,31,L,0.056728121,-0.957605481,-0.459971219,0.056728121,0.600000024,0.536432326,0.62938571,0.605947137,0.636313498,0.547709525,0.449999988,0.600000024,0.576,0.03183784,0.911347518,1,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23340,455.65,2008,fd2008,H6TX15055,C00310896,N00006008,297632008,29763,cand1488,4039284736,"HINOJOSA, RUBEN E",100,TX,federal:house,TX15,I,-0.237012158,-0.487174164,-0.340000004,0.155000001,-0.364,0.44,220,1232,M,388362,0,0,5582,,,,,,,,,616104,272532,335250,0,1,W, , ,W,65,W,0.056728121,-0.957605481,-0.459971219,0.056728121,0.600000024,0.536432326,0.62938571,0.605947137,0.636313498,0.547709525,0.449999988,0.600000024,0.576,0.03183784,0.2275144,0.923351494,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23344,456.117,2008,fd2008,H6TX00115,C00309237,N00006067,297642008,29764,cand1489,2414715129,"REYES, SILVESTRE",100,TX,federal:house,TX16,I,-0.006380456,-0.012766849,-0.331999987,0.237000003,-0.315,0.362,420,1669,M,1034725,2000,0,8185,,,,,,,,,1033751,585261,440761,0,1,W, , ,W,82,W,-0.477989316,-0.297731429,-0.630983829,-0.477989316,0.660000026,0.430351287,0.524462402,0.591218293,0.662574708,0.595381379,0.564356387,0.660000026,0.646,0.186470747,0.231913136,0.62029456,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
22190,457.7,2008,fd2008,H8TX17107,C00448415,N00013032,H8TX171072008,H8TX17107,cand56673,4074311997,"CURNOCK, ROBERT JOHN",200,TX,federal:house,TX17,C,1.370543669,1.391074815,,,,,62,125,M,109335,1500,10825,16463.58,,,,,,,,,110597,91920,5250,0,1,W, , ,L,45,L,1.524675488,0.296504885,0.64844048,1.524675488,0.323232323,0.316823184,0.419283003,0.459024996,0.435016781,0.285309672,0.303030312,0.323232323,0.414,0.505390218,0.791955769,0.947155653,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23226,457.75,2008,fd2008,H8TX06035,C00240465,N00005794,291442008,29144,cand1232,3768408276,"EDWARDS, THOMAS CHESTER",100,TX,federal:house,TX17,I,-0.343422862,-0.247825126,-0.237000003,0.414000005,-0.236,0.542,772,4816,M,2114653,5087,0,81687.71,,,,,,,,,2267333,1073277,1127079,0,1,W, , ,W,52,W,1.524675488,0.296504885,0.64844048,1.524675488,0.323232323,0.316823184,0.419283003,0.459024996,0.435016781,0.285309672,0.303030312,0.323232323,0.414,0.505390218,0.196355378,0.852008512,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
22189,458.135,2008,fd2008,H8TX18139,C00441840,N00029637,H8TX181392008,H8TX18139,cand56683,3271161283,"FAULK, JOHN M",200,TX,federal:house,TX18,C,1.265305601,1.094274292,,,,,27,179,M,59213,250,1920,11654.99,,,,,,,,,59018,54688,1200,0,1,W, , ,L,20,L,-1.583966255,-2.614972353,-1.964312315,-1.583966255,0.777777791,0.72427696,0.7519719,0.746686101,0.756878614,0.729727149,0.720000029,0.777777791,0.77,0.086692701,0.174224344,1,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22953,458.137,2008,fd2008,H4TX18054,C00287904,N00005818,H4TX180542008,29573,cand1410,54894258900,"LEE, SHEILA JACKSON",100,TX,federal:house,TX18,I,-0.285584735,-0.174603025,-0.479000002,0.033,,,406,1795,F,562704,2645,0,12376.87,,,,,,,,,930270,660808,264517,0,1,W, , ,W,77,W,-1.583966255,-2.614972353,-1.964312315,-1.583966255,0.777777791,0.72427696,0.7519719,0.746686101,0.756878614,0.729727149,0.720000029,0.777777791,0.77,0.086692701,0.10913394,0.940535603,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
22188,459.115,2008,fd2008,H8TX19087,C00443192,N00029765,H8TX190872008,H8TX19087,cand56690,,"FULLINGIM, DWIGHT BOWMAN MR.",100,TX,federal:house,TX19,C,-1.150539863,-1.115722765,,,,,7,9,M,41374,0,29150,1275,,,,,,,,,42225,13075,0,0,1,W, , ,L,24,L,1.980023861,0.907945752,1.814917922,1.980023861,0.272727281,0.2503708,0.331216395,0.280043393,0.280461103,0.196871325,0.222222194,0.272727281,0.283,0.792366705,0.612804878,0.962686567,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23469,459.12,2008,fd2008,H4TX19102,C00384016,N00026043,203532008,20353,cand919,,"NEUGEBAUER, ROBERT RANDOLPH (RANDY)",200,TX,federal:house,TX19,I,1.196772866,1.214247261,0.639999986,0.097000003,0.745,0.375,455,2136,M,1052072,740,90000,33013,,,,,,,,,1283209,656931,524930,0,1,W, , ,W,72,W,1.980023861,0.907945752,1.814917922,1.980023861,0.272727281,0.2503708,0.331216395,0.280043393,0.280461103,0.196871325,0.222222194,0.272727281,0.283,0.792366705,0.3388119,0.959625459,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23225,460.76,2008,fd2008,H8TX20077,C00330084,N00005960,299432008,29943,cand1547,,"GONZALEZ, CHARLES A",100,TX,federal:house,TX20,I,-0.12537578,0.101064093,-0.354000002,0.119000003,-0.429,0.437,219,1143,M,821805,18,0,14668,,,,,,,,,870831,267855,600025,0,1,W, , ,W,71,W,-0.405984163,-1.278762817,-0.469985157,-0.405984163,0.636363626,0.586158574,0.675657511,0.583980381,0.63094759,0.562203288,0.550000012,0.636363626,0.586,0.219998517,0.057947127,0.771237669,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23339,461.127,2008,fd2008,H6TX21012,C00197160,N00001811,154452008,15445,cand757,,"SMITH, LAMAR S",200,TX,federal:house,TX21,I,1.060858053,1.078486809,0.414000005,-0.029999999,0.617,0.142,516,2459,M,1069346,250,0,66745.66,,,,,,,,,1242140,717748,505416,0,1,W, , ,W,79,W,0.834477484,1.250954628,1.655517459,0.834477484,0.414141417,0.221010491,0.29105109,0.328793913,0.320066094,0.248708174,0.396039575,0.414141417,0.429,0.26159129,0.288567483,0.929921059,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23224,462.137,2008,fd2008,H8TX22107,C00437913,N00029285,209482008,20948,cand1075,2376690033,"OLSON, PETER G",200,TX,federal:house,TX22,C,1.101250462,1.149291936,0.540000021,0.078000002,,,1100,1639,M,2366149,19652,196045,121988.82,,,,,,,,,2431979,1409959,564767,0,1,W, , ,W,52,W,0.942831635,0.757806182,1.348705649,0.942831635,0.414141417,0.298432589,0.370917827,0.351384073,0.40036881,0.364356488,0.353535295,0.414141417,0.394,0.347174996,0.182923749,0.863581333,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23342,462.138,2008,fd2008,H6TX09033,C00328997,N00005928,297612008,29761,cand1486,3951991068,"LAMPSON, NICK",100,TX,federal:house,TX22,I,-0.749995304,-0.67943975,-0.199000001,0.175999999,0.033,0.611,949,4717,M,2385202,238,0,89583.27,,,,,,,,,2300044,1194893,1072661,0,1,W, , ,L,45,L,0.942831635,0.757806182,1.348705649,0.942831635,0.414141417,0.298432589,0.370917827,0.351384073,0.40036881,0.364356488,0.353535295,0.414141417,0.394,0.347174996,0.036980714,0.832286502,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
22179,463.108,2008,fd2008,H8TX23097,C00443531,N00029770,H8TX230972008,H8TX23097,cand56737,,"LARSON, LYLE",200,TX,federal:house,TX23,C,1.109981136,1.146917331,,,,,473,769,M,813774,0,0,50827.02,,,,,,,,,814616,699107,112681,0,1,W, , ,L,41,L,0.377407908,-0.125994965,0.340518832,0.377407908,0.515151501,0.408099592,0.495337903,0.506554604,0.533938706,0.422183722,0.353535295,0.515151501,0.505,0.464127797,0.162894489,0.979172213,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23223,463.117,2008,fd2008,H8TX28013,C00326066,N00009828,297712008,29771,cand1496,3899449083,"RODRIGUEZ, CIRO D",100,TX,federal:house,TX23,I,-0.485576333,-0.500281033,-0.368000001,0.143000007,-0.306,0.535,882,2215,M,2362363,25427,0,154227.67,,,,,,,,,2347718,986605,1308632,0,1,W, , ,W,55,W,0.377407908,-0.125994965,0.340518832,0.377407908,0.515151501,0.408099592,0.495337903,0.506554604,0.533938706,0.422183722,0.353535295,0.515151501,0.505,0.464127797,0.052303338,0.773475174,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
22178,464.106,2008,fd2008,H8TX24087,C00444083,N00029772,H8TX240872008,H8TX24087,cand56746,2419723585,"LOVE, THOMAS PERRY",100,TX,federal:house,TX24,C,-1.270784435,-1.207143611,,,,,13,13,M,21990,0,3251,3919.32,,,,,,,,,23226,16779,2500,0,1,W, , ,L,41,L,0.723690748,-0.414502949,-0.132574677,0.723690748,0.444444448,0.468300402,0.526330888,0.548854113,0.576926112,0.516998649,0.349999994,0.444444448,0.414,0.358799715,0.350440877,1,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
23466,464.108,2008,fd2008,H4TX24094,C00393348,N00026710,205322008,20532,cand955,29356240191,"MARCHANT, KENNY EWELL",200,TX,federal:house,TX24,I,0.9258355,0.880066672,0.602999985,0.07,0.726,0.384,176,1020,M,644822,250,0,8544.4,,,,,,,,,651065,182844,437050,0,1,W, , ,W,55,W,0.723690748,-0.414502949,-0.132574677,0.723690748,0.444444448,0.468300402,0.526330888,0.548854113,0.576926112,0.516998649,0.349999994,0.444444448,0.414,0.358799715,0.16053709,0.818708753,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
22177,465.129,2008,fd2008,H8TX25084,C00446351,N00029774,H8TX250842008,H8TX25084,cand56753,3788091340,"MOROVICH, GEORGE L.",200,TX,federal:house,TX25,C,1.523165159,1.541316195,,,,,11,16,M,64134,0,44663,7031,,,,,,,,,69269,13981,500,0,1,W, , ,L,30,L,-0.498688549,-0.374945879,-0.050620619,-0.498688549,0.595959604,0.471298486,0.513055205,0.567996502,0.536715508,0.510352552,0.629999995,0.595959604,0.434,-0.14860138,0.979042669,0.93754684,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
23472,465.132,2008,fd2008,H4TX10028,C00286500,N00006023,295712008,29571,cand1408,3096072243,"DOGGETT, LLOYD",100,TX,federal:house,TX25,I,-0.774249314,-0.689623528,-0.442000002,-0.345999986,-0.372,-0.369,385,3783,M,401449,12,0,53605,,,,,,,,,1150661,498833,476343,0,1,W, , ,W,65,W,-0.498688549,-0.374945879,-0.050620619,-0.498688549,0.595959604,0.471298486,0.513055205,0.567996502,0.536715508,0.510352552,0.629999995,0.595959604,0.434,-0.14860138,0.090572684,0.822476211,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
